epoch,train_loss,val_loss,val_acc
1,1.8473,0.8433,0.8204
2,0.6795,0.6476,0.8106
3,0.4360,0.5025,0.8590
4,0.3122,0.5190,0.8281
5,0.2471,0.4712,0.8471
6,0.1945,0.4488,0.8566
7,0.1735,0.4842,0.8534
8,0.1501,0.4658,0.8460
9,0.1238,0.4089,0.8782
10,0.1176,0.4467,0.8368
11,0.0956,0.4138,0.8704
12,0.0989,0.4741,0.8539
13,0.0867,0.4307,0.8705
14,0.0950,0.4240,0.8575
15,0.0716,0.5408,0.8470
