epoch,train_loss,val_loss,val_acc,val_f1_macro
1,0.6017,0.5590,0.7157,0.7131
2,0.4637,0.4599,0.7797,0.7777
3,0.3209,0.3439,0.8520,0.8521
4,0.2165,0.3328,0.8645,0.8644
5,0.1351,0.3789,0.8674,0.8672
6,0.0843,0.3906,0.8705,0.8706
