epoch,train_loss,val_loss,val_acc,val_f1_macro
1,0.6358,0.5980,0.6677,0.6671
2,0.4982,0.4308,0.8031,0.8027
3,0.3470,0.3390,0.8515,0.8516
4,0.2683,0.3622,0.8541,0.8539
5,0.2015,0.3447,0.8673,0.8673
6,0.1622,0.3472,0.8678,0.8678
