epoch,train_loss,val_loss,val_acc,val_f1_macro
1,0.6237,0.6268,0.6476,0.6456
2,0.5099,0.4610,0.7668,0.7608
3,0.3537,0.3639,0.8427,0.8426
4,0.2787,0.3732,0.8362,0.8351
5,0.2216,0.3242,0.8653,0.8654
6,0.1862,0.3286,0.8719,0.8718
