epoch,train_loss,val_loss,val_acc
1,3.4418,3.1298,0.2804
2,2.6068,2.7000,0.3551
3,2.1718,2.6657,0.3814
4,1.7981,2.6872,0.3853
5,1.4248,2.8497,0.3866
6,1.0985,2.9985,0.4026
7,0.7470,3.2699,0.4005
8,0.5394,3.6417,0.3929
9,0.3765,3.9480,0.3896
10,0.2547,4.1156,0.3904
11,0.2348,4.3703,0.3848
12,0.1660,4.4559,0.3934
13,0.1240,4.5546,0.3912
14,0.1226,4.5623,0.4009
