epoch,train_loss,val_loss,val_acc,val_f1_macro
1,0.4754,0.3159,0.8901,0.8890
2,0.2506,0.2893,0.8981,0.8981
3,0.1791,0.2885,0.9028,0.9026
4,0.1321,0.3003,0.9042,0.9042
5,0.0898,0.3407,0.9047,0.9041
6,0.0633,0.3747,0.9014,0.9011
