,precision,recall,f1-score,support
n04008634,0.9655,0.9333,0.9492,60.0000
n04023962,0.9600,0.9600,0.9600,50.0000
n04067472,0.9821,0.9016,0.9402,61.0000
n04070727,0.9661,1.0000,0.9828,57.0000
n04074963,1.0000,0.9804,0.9901,51.0000
n04099969,0.9444,0.9808,0.9623,52.0000
n04118538,1.0000,0.9592,0.9792,49.0000
n04133789,1.0000,0.8980,0.9462,49.0000
n04146614,0.9778,0.9778,0.9778,45.0000
n04149813,0.9348,1.0000,0.9663,43.0000
n04179913,0.9804,1.0000,0.9901,50.0000
n04251144,0.9565,0.9706,0.9635,68.0000
n04254777,1.0000,0.9800,0.9899,50.0000
n04259630,0.9688,0.9118,0.9394,34.0000
n04265275,0.9630,0.8966,0.9286,58.0000
n04275548,0.9200,1.0000,0.9583,46.0000
n04285008,0.9464,0.9464,0.9464,56.0000
n04311004,0.9545,1.0000,0.9767,42.0000
n04328186,0.9474,0.9000,0.9231,40.0000
n04356056,0.9268,0.9268,0.9268,41.0000
n04366367,0.9737,0.9250,0.9487,40.0000
n04371430,0.8974,0.8750,0.8861,40.0000
n04376876,0.8704,0.8868,0.8785,53.0000
n04398044,0.9636,0.9815,0.9725,54.0000
n04399382,0.9130,0.9767,0.9438,43.0000
n04417672,0.9630,0.9811,0.9720,53.0000
n04456115,0.8974,0.8974,0.8974,39.0000
n04465501,0.9804,0.9091,0.9434,55.0000
n04486054,0.9796,0.9796,0.9796,49.0000
n04487081,1.0000,0.9643,0.9818,56.0000
n04501370,0.9524,0.9524,0.9524,42.0000
n04507155,0.8654,0.9375,0.9000,48.0000
n04532106,0.8627,0.9565,0.9072,46.0000
n04532670,0.9000,1.0000,0.9474,45.0000
n04540053,0.9310,0.9000,0.9153,60.0000
n04560804,0.9388,0.9583,0.9485,48.0000
n04562935,0.9818,1.0000,0.9908,54.0000
n04596742,0.9677,0.8824,0.9231,68.0000
n04597913,0.8704,0.8545,0.8624,55.0000
n06596364,0.9423,0.9423,0.9423,52.0000
n07579787,0.8909,0.9245,0.9074,53.0000
n07583066,0.9839,1.0000,0.9919,61.0000
n07614500,0.9459,0.9459,0.9459,37.0000
n07615774,0.9423,0.9245,0.9333,53.0000
n07695742,0.9459,0.8750,0.9091,40.0000
n07711569,0.9310,0.9310,0.9310,58.0000
n07715103,0.9388,0.9388,0.9388,49.0000
n07720875,0.9767,1.0000,0.9882,42.0000
n07734744,0.9667,0.9831,0.9748,59.0000
n07747607,1.0000,0.9773,0.9885,44.0000
