epoch,train_loss,val_loss,val_acc,val_f1_macro
1,1.0899,0.8737,0.7185,0.7157
2,0.8441,0.8319,0.7310,0.7271
3,0.7988,0.8136,0.7352,0.7315
4,0.7675,0.8072,0.7371,0.7331
5,0.7410,0.8033,0.7386,0.7345
6,0.7217,0.8041,0.7387,0.7352
