epoch,train_loss,val_loss,val_acc
1,1.1797,0.7841,0.7900
2,0.4112,0.7270,0.7903
3,0.2873,0.5182,0.8420
4,0.1753,0.5730,0.8213
5,0.1417,0.6539,0.7934
6,0.1003,0.5012,0.8453
7,0.1232,0.7175,0.7937
8,0.1439,0.6071,0.8072
9,0.0972,0.5790,0.8333
10,0.0864,0.8134,0.7898
11,0.0839,0.6973,0.8006
12,0.1207,0.7687,0.7853
