epoch,train_loss,val_loss,val_acc,val_f1_macro
1,0.4000,0.2805,0.9045,0.9038
2,0.2035,0.2759,0.9090,0.9087
3,0.1315,0.3038,0.9064,0.9051
4,0.0869,0.3361,0.8988,0.8987
5,0.0606,0.3785,0.9038,0.9033
6,0.0465,0.4089,0.8979,0.8979
