epoch,train_loss,val_loss,val_acc
1,1.7166,0.7149,0.8474
2,0.5284,0.5356,0.8460
3,0.2920,0.4073,0.8826
4,0.1802,0.4155,0.8666
5,0.1157,0.3534,0.9131
