epoch,train_loss,val_loss,val_acc,val_f1_macro
1,1.0068,0.8430,0.7262,0.7203
2,0.8054,0.8139,0.7367,0.7324
3,0.7399,0.8059,0.7391,0.7352
4,0.6735,0.8147,0.7383,0.7351
5,0.6058,0.8391,0.7368,0.7337
6,0.5540,0.8628,0.7337,0.7307
