epoch,train_loss,val_loss,val_acc,val_f1_macro
1,1.0028,0.8401,0.7277,0.7218
2,0.8028,0.8074,0.7378,0.7337
3,0.7506,0.7966,0.7420,0.7379
4,0.7090,0.7994,0.7407,0.7381
5,0.6669,0.8103,0.7405,0.7363
6,0.6234,0.8246,0.7370,0.7338
