epoch,train_loss,val_loss,val_acc,val_f1_macro
1,0.6327,0.5771,0.7036,0.6970
2,0.4947,0.5544,0.7749,0.7748
3,0.4110,0.4263,0.8155,0.8151
4,0.3189,0.3946,0.8318,0.8318
5,0.2694,0.3838,0.8379,0.8380
6,0.2410,0.3817,0.8419,0.8420
